"Group","N","Value","SD","SE","CI","Task","rank"
"Carrier",4,0.946840857555143,0.0361762355325612,0.0180881177662806,0.0575644635548364,"Choice Reaction",2
"Non-carrier",13,0.976539333682191,0.0270450199072554,0.00750093892473489,0.0163431419637627,"Choice Reaction",2
"Carrier",4,0.931466965285554,0.0457979794975952,0.0228989897487976,0.0728748053207904,"Simple Processing",3
"Non-carrier",13,0.96678439142045,0.0267755669496428,0.00742620612050432,0.0161803131711081,"Simple Processing",3
"Carrier",4,0.823033707865169,0.0280898876404494,0.0140449438202247,0.0446972795685914,"Attention",1
"Non-carrier",13,0.853068280034572,0.0269278512141698,0.00746844217621188,0.0162723376311583,"Attention",1
"Carrier",4,0.853446203165698,0.0801274301103532,0.0400637150551766,0.127500621953286,"Complex Processing",4
"Non-carrier",13,0.924195442566483,0.0519105734080329,0.0143974026278,0.0313692455593353,"Complex Processing",4
"Carrier",4,0.969387755102041,0.0204081632653061,0.0102040816326531,0.0324739418906501,"Abstract Matching",5
"Non-carrier",13,0.967032967032967,0.0437218099326098,0.0121262482744704,0.0264208253161462,"Abstract Matching",5
